Date,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-04-08,15752.308,0.00187657,-1.394906894,-2.534430222,-1.074847929,0.00187657,-1.395845179,-1.000882376,0.344711303,-0.54282623,-2.187564921,-0.144093514,0.917803572
01-07-08,15667.032,-2.791690358,-3.068033977,-3.309212728,-0.68398903,-2.791690358,-1.672188799,-0.774313363,0.39109347,-2.187564921,-1.129044839,0.363449821,0.734507154
01-10-08,15328.027,-3.344377597,-3.67395355,-2.565613352,-0.017902825,-3.344377597,-2.001764752,0.045676786,0.317124911,-1.129044839,-0.144093514,1.092395677,0.500647205
01-01-09,15155.94,-4.003529504,-3.550391478,-1.305570618,0.639172769,-4.003529504,-1.548626726,0.423948335,0.239028394,-0.144093514,0.363449821,0.384041356,-0.240730776
01-04-09,15134.117,-3.097253453,-1.457273154,0.384734364,1.352970594,-3.097253453,0.091353572,0.689422606,0.213356637,0.363449821,1.092395677,0.917803572,0.71242951
01-07-09,15189.222,0.182707145,0.939250242,1.941234667,1.858197702,0.182707145,0.84789667,0.78218694,0.118070427,1.092395677,0.384041356,0.734507154,-0.027782521
01-10-09,15356.058,1.69579334,2.226741883,2.529807703,2.034925932,1.69579334,1.378845213,0.634249822,0.199566622,0.384041356,0.917803572,0.500647205,1.152616765
01-01-10,15415.145,2.757690426,2.943219092,2.583916156,2.150102644,2.757690426,1.564373879,0.478056789,0.32715088,0.917803572,0.734507154,-0.240730776,0.779943285
01-04-10,15557.277,3.128747758,2.832873523,2.321206823,2.097148381,3.128747758,1.268499643,0.426713273,0.29175704,0.734507154,0.500647205,0.71242951,0.42927879
01-07-10,15671.967,2.536999287,2.224613221,1.775160738,2.01814192,2.536999287,0.956113577,0.236140854,0.31208701,0.500647205,-0.240730776,-0.027782521,0.134857236
01-10-10,15750.625,1.912227154,1.809540123,1.540044161,1.883252981,1.912227154,0.853426546,0.399133244,0.182235971,-0.240730776,0.71242951,1.152616765,0.113808459
01-01-11,15712.754,1.706853093,1.325708255,1.716289132,1.839189646,1.706853093,0.472281709,0.65430176,0.19496506,0.71242951,-0.027782521,0.779943285,0.881775993
01-04-11,15825.096,0.944563417,1.270548198,1.873089938,1.782553271,0.944563417,0.798266489,0.58351408,0.156720262,-0.027782521,1.152616765,0.42927879,0.123320404
01-07-11,15820.7,1.596532978,2.106870008,2.261123103,1.901891252,1.596532978,1.30860352,0.624174019,0.237408407,1.152616765,0.779943285,0.134857236,0.780362404
01-10-11,16004.107,2.617207039,2.475631679,2.226461801,2.024891953,2.617207039,1.167028159,0.364471943,0.322567323,0.779943285,0.42927879,0.113808459,0.795079785
01-01-12,16129.418,2.334056319,2.415376198,1.962090161,1.874698203,2.334056319,1.248348038,0.38993012,0.17695713,0.42927879,0.134857236,0.881775993,-0.283105552
01-04-12,16198.807,2.496696077,1.977291924,1.692016604,1.912558358,2.496696077,0.728943885,0.313440523,0.329617195,0.134857236,0.113808459,0.123320404,1.344600921
01-07-12,16220.667,1.457887771,1.508804125,1.5426594,1.984235616,1.457887771,0.779860239,0.474816815,0.383764268,0.113808459,0.881775993,0.780362404,1.213538991
